tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,class
-0.31392,-3763.0877,2.26e-20,419.0834,-3299.33,-69201.7594,-3181.5793,0.15837,-0.2958,-208925.6051,-7311.6463,0.5124,-4083.683,-133270.8019,-90140.5558,-0.3736,8.26e-22,-269480.4882,7.9552,0.078257,258.2321,1.59e-20,0.12945,0.37206,254.7123,0.33555,4.85e-20,0.53319,0.083713,0.36589,-3718.6292,-0.5124,-1.062,1592602.021,1.2139,-0.61042,-0.77052,0.18154,1.2177,0.29833,2.3982,0.16873,-0.5834,-0.35516,0.26876,1.0
-0.55979,-4090.575,-6.3e-21,880.9675,-3660.7954,-67609.4612,-3726.6264,0.23827,-0.43019,-200756.2226,-8838.0021,0.77496,-4279.2569,-128443.9886,-87112.4636,-0.56318,6.12e-23,-262693.2943,91.175,0.13248,354.7345,-8.880000000000001e-21,0.22449,0.5356,566.5793,0.55979,-9.1e-21,0.77743,0.13964,0.35974,-3919.5855,-0.77496,-1.8303,1426721.875,1.2644,-1.1055,-0.32304,0.2201,0.98841,0.24055,2.1255,0.19335,-1.0148,-0.65526,0.31901,1.0
-0.34376,-4246.9189,-3.66e-20,350.1505,-3608.6098,-75768.173,-3083.5268,0.13301,-0.32139,-213021.7079,-8407.0788,0.41135,-4301.6287,-143516.3694,-99017.7163,-0.30754,1.91e-22,-276070.8269,59.2663,0.044479,379.9472,-1.26e-20,0.11539,0.30284,241.6015,0.34376,9.1e-21,0.44064,0.081304,0.29996,-3861.4142,-0.41135,-1.1109,1582801.741,1.1816,-0.13832,-0.67079,-0.054131,1.0868,0.30439,2.8281,0.21074,-0.80362,-0.72134,0.35616,1.0
-0.55263,-3876.3286,9.28e-20,706.0245,-3288.2974,-55507.99,-8217.7659,0.20445,-0.38071,-179189.9073,-9672.1104,0.56468,-5404.3792,-142451.6296,-88510.0877,-0.59126,-2.26e-21,-244287.7847,94.7643,0.13273,289.438,8.809999999999999e-23,0.18477,0.56465,897.6118,0.55263,1.76e-19,0.5143,0.1886,0.37048,-4694.0436,-0.56468,1.0896,1696994.819,1.2194,-0.67834,0.16076,-1.5889,0.47512,0.16613,1.8072,0.1839,0.7388,-1.1568,0.23497,1.0
-0.50389,-3749.4261,1.11e-20,300.64,-3235.5341,-87139.5602,-6763.9784,0.16031,-0.21436,-227068.5947,-10048.2499,0.43938,-5475.1951,-175074.5503,-121130.9056,-0.27673,6.73e-22,-273546.4436,13.4831,0.22654,123.5321,8.460000000000001e-21,0.10836,0.3039,180.1583,0.50389,-4.12e-20,0.63376,0.068905,0.1976,-4518.3112,-0.43938,0.76748,422891.1066,1.2142,-0.69251,0.28266,-1.6035,0.21899,0.23283,0.97676,0.16581,-0.35026,-1.5664,0.20726,1.0
-0.34419,-3630.1466,-1.72e-20,44.7825,-3143.1779,-95361.6046,-6861.6026,0.050627,-0.10888,-261716.207,-9565.1367,0.17708,-5421.3016,-196209.395,-133577.2638,-0.14226,3.8600000000000003e-22,-328212.5767,83.7248,0.055218,102.8214,2.8400000000000003e-21,0.032284,0.13808,69.6795,0.34419,2.2e-19,0.21112,0.036745,0.12028,-4456.3712,-0.17708,0.75251,988141.0706,1.228,-0.99242,0.20374,-1.463,0.045281,0.19417,0.86663,0.18822,-0.023605,-1.734,0.21618,1.0
-0.31283,-3945.3238,-1.13e-20,298.4623,-3183.5308,-74940.2527,-11606.4595,0.11265,-0.19391,-192225.9831,-8932.6205,0.26923,-4723.7138,-121574.4099,-85551.168,-0.178,-3.06e-23,-270895.5249,88.399,0.13126,120.1989,1.2800000000000001e-21,0.096127,0.18141,156.8688,0.27027,-3.64e-20,0.35397,0.058592,0.19003,-4225.1856,-0.26923,-3.029,1325294.445,1.3213,-1.8484,-0.96097,0.47421,-0.93885,0.26243,1.6355,0.18537,-0.56778,0.064131,0.18248,1.0
-0.31819,-3935.6836,-2.03e-20,601.0147,-3355.697,-64962.2815,-11270.4212,0.1664,-0.238,-225269.4604,-9071.6068,0.33945,-4981.8849,-139583.1987,-90455.2311,-0.27591,-3.06e-23,-275795.6111,57.3178,0.1412,244.1354,5.64e-21,0.15328,0.28802,392.1805,0.31819,-3.34e-20,0.39,0.10578,0.25345,-4410.0184,-0.33945,-1.4654,1531117.311,1.3628,-2.0789,-1.1801,0.95342,0.004522,0.32853,1.2118,0.21471,-1.5302,-1.1793,0.2064,1.0
-0.58177,-3873.7213,-1.23e-19,667.4346,-3262.7369,-52615.8892,-11955.7991,0.20235,-0.42176,-207397.7736,-9300.3075,0.44304,-4788.5811,-118546.2343,-72922.8584,-0.43092,3.06e-23,-268604.3756,93.506,0.159,233.5767,-2.11e-21,0.17064,0.44781,592.3483,0.58177,2.43e-20,0.5652,0.13952,0.39725,-4294.7016,-0.44304,-2.8182,1970876.89,1.384,-2.0585,-0.95294,0.73615,-0.068269,0.31874,0.91354,0.14967,-1.0285,-1.1904,0.36693,1.0
-0.31304,-2351.5676,1.39e-20,1010.0735,-1837.0345,-71660.9779,-11394.2371,0.18429,-0.23797,-246858.3951,-6738.926,0.62198,-3144.8653,-161731.2916,-109297.0834,-0.44339,3.9200000000000006e-21,-298893.3578,2.5896,0.13428,84.1807,4.850000000000001e-21,0.23239,0.43491,696.5571,0.34006,-5.22e-19,0.54806,0.15353,0.24223,-2812.9163,-0.62242,0.16073,1738448.53,1.3125,-1.7526,-1.1953,2.4838,0.075395,0.21249,2.5204,0.19527,-2.0466,-0.97021,0.21513,1.0
-0.68567,-2263.9165,1.02e-20,1775.0316,-2021.3056,-58911.1103,-10635.3702,0.39285,-0.53154,-213306.6388,-7206.8199,1.0061,-3031.6177,-132029.9226,-84628.7748,-0.72062,-5.41e-21,-236306.8931,3.6113,0.13395,218.2756,3.28e-20,0.44295,0.68497,1517.8902,0.70726,-5.1e-19,1.0503,0.27809,0.39884,-2704.0999,-1.0317,0.086492,1780419.93,1.3655,-1.7334,-0.77921,1.9544,0.31441,0.2813,0.83091,0.1831,-1.4857,-1.5632,0.32317,1.0
-0.73285,-1960.2266,-3.11e-20,1244.009,-1599.2927,-65386.3704,-9897.9401,0.27559,-0.38142,-232906.5681,-6631.2223,0.90602,-2041.4487,-155338.7178,-102202.6339,-0.6682,3.3e-21,-283174.9552,10.1173,0.080174,297.0853,1.74e-20,0.29926,0.65144,982.0351,0.76527,1.21e-20,0.97874,0.20436,0.38325,-2293.4358,-1.0503,0.10579,1709902.806,1.3433,-1.7477,-0.43727,2.0886,0.18562,0.23632,1.1028,0.17573,-1.7151,-1.3822,0.272,1.0
-0.87039,-3843.3321,1.2800000000000001e-21,457.6777,-3364.4746,-84524.202,-3263.1109,0.23148,-0.21217,-199814.2526,-7513.9445,0.40018,-4991.0025,-154919.4306,-122163.4957,-0.32744,-4.13e-22,-258881.5266,92.6621,0.1395,368.1357,5.860000000000001e-21,0.13322,0.35973,241.165,0.87039,-6.0700000000000005e-21,0.65837,0.080107,0.21877,-4287.2286,-0.40018,-0.95679,1448717.858,1.2307,-0.647,0.45122,0.21431,-0.83718,0.27828,3.0178,0.23047,-1.2968,-0.5864,0.23808,1.0
-1.403,-3200.396,1.9600000000000003e-21,846.6818,-3147.1312,-69580.1236,-2898.9036,0.35229,-0.45328,-214865.3171,-7157.3986,0.76688,-4547.0169,-170399.0284,-109749.8736,-0.80013,-1.13e-22,-251774.7451,95.6226,0.16364,325.8358,4.16e-21,0.22115,0.72555,667.4325,1.403,1.21e-19,1.0299,0.17179,0.43957,-3882.4424,-0.76688,-0.84781,1341707.416,1.3071,-0.786,0.86969,0.80979,-0.35876,0.31778,2.8488,0.2265,-1.4713,-1.4752,0.30313,1.0
-1.0063,-3802.0169,-1.61e-20,222.7032,-3275.1501,-91841.0009,-3999.5786,0.17,-0.18302,-245704.9374,-6382.417,0.39298,-4937.8283,-186967.1833,-133237.7328,-0.29951,6.12e-23,-307494.1675,93.0485,0.11792,293.5785,2.82e-21,0.088341,0.31915,156.322,1.0063,-2.43e-20,0.66012,0.062312,0.19707,-4204.5887,-0.39298,-0.40749,1735051.468,1.2135,-0.61147,0.14574,0.10538,-0.33724,0.22624,3.9411,0.20469,-0.95597,-1.1194,0.20905,1.0
-0.22449,-3840.9543,-2.21e-20,171.7895,-3316.3073,-81043.008,-4991.2808,0.087629,-0.19775,-233738.2236,-9751.4202,0.21293,-4620.1276,-157541.325,-108605.7547,-0.22219,-6.15e-21,-286472.6659,61.04,0.12763,60.8697,-2.49e-20,0.070405,0.20705,123.3677,0.22697,4.17e-20,0.27272,0.05202,0.20967,-4198.5741,-0.21011,1.877,1421534.726,1.3189,-3.4464,-0.11395,0.071811,1.5169,0.3266,0.47468,0.17333,0.083614,-1.1534,0.33491,1.0
-0.34571,-3723.118,7.26e-21,409.1651,-3294.7743,-74335.7748,-5162.1717,0.15477,-0.19634,-249621.518,-9958.3123,0.34769,-4207.1883,-159204.9871,-103595.6858,-0.26357,-1.1e-21,-306561.4236,3.255,0.22319,99.0057,1.37e-20,0.12367,0.25357,263.6907,0.35096,-2.43e-20,0.49923,0.082065,0.19718,-3963.8593,-0.37495,1.5859,1628272.145,1.2761,-3.4868,-0.37693,0.43819,1.6764,0.33547,1.6453,0.14562,-0.4948,-2.14,0.40306,1.0
-0.37589,-3692.5424,8.95e-21,585.9036,-3099.3565,-63959.9693,-3907.5299,0.18714,-0.28389,-240726.8634,-9124.7091,0.46866,-4301.6841,-149815.0848,-94669.9534,-0.37222,3.0600000000000003e-21,-297291.1016,72.8512,0.19476,95.9827,-5.22e-20,0.15894,0.38564,510.6543,0.38368,-3.64e-20,0.5814,0.12651,0.30196,-4035.6785,-0.48626,1.3285,1566266.14,1.3032,-3.1783,-0.27254,0.81176,2.0745,0.28268,1.2614,0.17051,-0.76498,-1.6503,0.2839,1.0
-0.1632,-3660.1978,6.86e-22,19.0623,-3222.9448,-117237.9243,-9187.1336,0.021016,-0.027618,-248914.062,-3885.9106,0.07551,-4529.9311,-230597.7462,-169093.9553,-0.055515,5.74e-23,-291277.7079,28.3752,0.01268,140.4757,-1.6600000000000001e-21,0.018735,0.056185,17.9891,0.1632,1.24e-19,0.090004,0.016116,0.030517,-3869.1466,-0.07551,1.4367,1518275.909,1.168,1.136,-0.18992,0.92563,-0.5464,0.23017,2.5566,0.21474,-1.5156,-0.98802,0.21215,1.0
-0.16633,-3732.4091,6.39e-22,22.4316,-3102.5895,-117622.7899,-8830.9796,0.023493,-0.034844,-246533.0741,-3791.4701,0.086536,-4658.0558,-229047.7925,-169498.0814,-0.070242,1.53e-23,-290000.0955,60.8122,0.019042,96.9592,4.58e-21,0.020666,0.066153,19.5368,0.16633,-7.62e-20,0.10826,0.017018,0.037659,-4048.5845,-0.086536,0.89159,1483779.805,1.1612,1.1195,0.20123,0.60561,-0.28457,0.23141,2.7981,0.19017,-1.3195,-0.96385,0.23817,1.0
-0.22129,-3818.0839,-4.570000000000001e-22,13.7818,-3238.6471,-120678.4497,-9350.1959,0.025258,-0.036789,-244254.5828,-3958.7895,0.077183,-4557.4622,-229498.174,-170176.6901,-0.067609,-2.91e-22,-287225.3075,5.2495,0.021266,92.5873,3.6100000000000005e-21,0.015671,0.060576,13.4109,0.22129,-6.0700000000000005e-21,0.1167,0.013738,0.035708,-3958.6702,-0.077183,1.3348,1371662.465,1.1451,0.98193,0.1067,0.66578,-0.74211,0.28032,2.545,0.19412,-1.171,-0.81396,0.25291,1.0
-0.022782,-4897.7152,-4.22e-22,0.26375,-4218.567,-159230.0599,-10929.5581,0.0026892,-0.0063315,-363936.7324,-10711.6163,0.01009,-6189.8713,-286779.6339,-210181.7441,-0.0083156,0.0,-440367.3579,24.6595,0.022988,2.1011,4.35e-22,0.0017332,0.0080314,0.35759,0.022782,6.0700000000000005e-21,0.013455,0.0018273,0.0060366,-5329.8353,-0.01009,-0.68512,937675.7397,1.1875,0.41346,0.11413,0.74255,-0.36145,0.37864,3.1797,0.22953,-0.76546,0.01292,0.38045,1.0
-0.12047,-4720.5586,1.94e-22,2.1695,-4250.3538,-135724.2032,-10091.6164,0.01389,-0.029407,-340643.5301,-11338.573,0.029597,-6079.1638,-254823.0514,-180892.308,-0.028364,-1.9099999999999997e-24,-399959.8887,84.6502,0.060862,22.9056,1.24e-21,0.0056171,0.030978,2.6586,0.12047,-5.69e-22,0.061325,0.0056774,0.028214,-5223.1951,-0.029597,-0.68294,574082.4495,1.1785,0.15239,-0.47636,0.4912,-0.71561,0.47788,2.9506,0.15738,-1.4789,-0.61388,0.41031,1.0
-0.030481,-4620.0519,-3.65e-22,0.11404,-3974.5091,-163894.8698,-10034.1263,0.0030221,-0.0040609,-373070.0337,-8909.888,0.00506,-5891.3612,-294671.9371,-215037.182,-0.0049095,4.899999999999999e-24,-452844.6383,90.3304,0.014834,1.6872,1.7599999999999997e-23,0.0010834,0.0046826,0.1671,0.030481,-3.04e-20,0.013837,0.0011989,0.004612,-5114.9234,-0.00506,-0.022159,1505134.38,1.1606,0.46871,0.27165,0.59045,-0.35686,0.35966,3.9929,0.31939,-0.56275,0.044006,0.28893,1.0
-1.293,-3595.3125,5.41e-20,677.0672,-3107.4361,-47021.9319,-8105.556,0.31902,-0.54601,-210808.7085,-9694.9249,0.5482,-4116.1759,-124601.6039,-74576.5451,-0.57965,-7.65e-23,-268588.2747,28.7146,0.13576,581.7946,-1.04e-21,0.17635,0.54502,950.6608,1.293,8.04e-20,0.89524,0.19511,0.53206,-3774.1481,-0.5482,-0.12489,1626183.641,1.3678,-0.76515,0.34196,0.69432,-0.29399,0.16157,2.7871,0.2324,-1.6265,-2.3606,0.18534,0.0
-1.1746,-2788.0648,7.49e-20,674.3138,-2363.6106,-61994.569,-7117.5094,0.31438,-0.39098,-209522.932,-9723.1264,0.58242,-4385.0612,-148098.4673,-93063.9232,-0.40843,-1.21e-21,-248676.6786,97.396,0.13725,652.9719,-1.79e-21,0.17759,0.50094,544.8341,1.1746,-6.37e-20,0.90347,0.13523,0.36089,-3701.5362,-0.58242,-1.1614,1568595.9,1.2671,-0.35728,0.6776,1.1297,-0.55456,0.1147,1.4875,0.22183,-2.1266,-1.8316,0.13897,0.0
-1.0671,-3714.4977,-1.1e-19,606.1977,-3319.8619,-41606.3055,-9399.8483,0.28989,-0.50119,-200223.4245,-10124.8606,0.50499,-4704.5726,-121247.1521,-67966.0222,-0.54812,6.12e-22,-254708.6486,62.1588,0.11865,667.2183,4.230000000000001e-21,0.16361,0.54784,1140.9194,1.0671,3.64e-20,0.84896,0.22097,0.47948,-4143.4968,-0.50499,-0.77288,1685940.713,1.3956,-0.79497,0.53371,0.60732,-0.56799,0.14536,2.3494,0.21636,-1.668,-1.8588,0.13862,0.0
-0.50886,-2845.8474,-3.38e-20,254.5381,-2345.4296,-67522.6029,-3278.9088,0.14131,-0.33022,-235711.6557,-10203.7933,0.31518,-3474.3992,-146623.555,-95830.2722,-0.30691,9.16e-21,-288600.0282,29.0758,0.027152,876.8372,9.16e-21,0.090392,0.30667,231.036,0.53588,-4.06e-19,0.50834,0.076626,0.3334,-3093.3849,-0.32754,1.7064,1826377.442,1.1274,-2.7506,-0.88119,0.082492,-0.27035,0.25975,2.7809,0.1745,-0.14383,-0.097946,0.24913,1.0
-0.32415,-2591.6135,-9.13e-23,143.6448,-2202.9932,-86220.3551,-1594.906,0.11147,-0.15029,-249574.903,-8900.5749,0.21955,-3200.9421,-172197.1649,-117888.2667,-0.19377,-1.54e-21,-311127.9811,3.7338,0.01122,827.1332,8.32e-21,0.062666,0.17955,98.3327,0.35336,6.43e-19,0.28978,0.045002,0.17588,-2845.2516,-0.22088,2.3425,1197860.646,1.155,-1.8882,-0.78385,0.17164,0.15243,0.23881,4.1549,0.17127,0.15639,-0.090214,0.2069,1.0
-0.45445,-2624.1317,-1.24e-20,107.9789,-2084.4568,-90742.238,-1634.1309,0.094226,-0.23139,-259013.4542,-8819.7054,0.31107,-3770.2583,-181222.7139,-123948.9721,-0.2932,-2.3e-20,-338887.9228,9.1055,0.0081569,782.7246,-3.63e-20,0.05258,0.2598,64.4776,0.49751,1.21e-19,0.33515,0.03486,0.22536,-3291.6287,-0.29248,2.207,1571471.024,1.1835,-1.6214,-0.90468,0.13173,-0.080918,0.1966,4.4001,0.26883,0.67046,-0.043326,0.22886,1.0
-1.1592,-2064.7291,2.16e-19,568.1268,-2091.9088,-70759.9503,-3415.7194,0.30674,-0.28113,-164263.6937,-8782.7464,0.51128,-3319.8293,-106345.5363,-75961.0772,-0.33051,-4.89e-21,-195576.6921,2.5336,0.13945,593.1657,-2.68e-20,0.15197,0.30868,196.2483,1.2452,-4.12e-19,0.74195,0.071118,0.29224,-2653.7923,-0.49466,1.6413,2103965.944,1.2443,-3.5477,0.48619,-0.1738,0.3939,0.26376,0.98162,0.15658,0.88905,-1.9248,0.18279,1.0
-0.94503,-2390.8983,9.68e-20,563.1193,-1996.2816,-79231.8557,-3465.0168,0.29218,-0.25057,-166676.6627,-8879.7228,0.43361,-3262.2313,-110354.0338,-81986.9113,-0.27247,-1.3e-20,-206670.0791,13.1466,0.12683,573.5451,2.91e-20,0.15258,0.25369,169.7192,0.97962,8.49e-20,0.79438,0.065081,0.24725,-2749.4202,-0.43851,1.2157,2006792.846,1.2434,-2.7275,0.23394,-0.25378,0.15601,0.17796,-0.076025,0.16266,-0.034906,-2.0053,0.21506,1.0
-0.85687,-2606.3536,-1.12e-19,500.9577,-2295.8124,-76022.8111,-3869.3238,0.26874,-0.25358,-170601.5359,-10379.471,0.43058,-4234.6987,-111357.594,-81507.2172,-0.28014,-1e-20,-209811.7668,3.7013,0.15151,461.5936,-8.37e-21,0.14145,0.26004,166.304,0.90193,7.28e-20,0.76622,0.065282,0.2586,-3435.333,-0.4456,0.57914,1989426.174,1.2405,-3.0498,0.35586,0.70912,0.54973,0.20684,0.18989,0.17793,-0.84998,-1.1601,0.21081,1.0
-0.66451,-2840.8611,-3.25e-20,1054.527,-2212.7723,-54962.3251,-8812.918,0.2743,-0.50741,-229050.9082,-8722.9506,0.80823,-3433.3896,-134958.5311,-82589.993,-0.66367,6.94e-21,-250301.4649,2.7978,0.072182,245.4805,4.850000000000001e-21,0.25982,0.70578,1002.6479,0.66756,7.89e-20,0.85895,0.21342,0.5115,-3270.1712,-0.77757,0.91929,1766821.693,1.2866,-3.0597,-0.82964,1.191,1.064,0.27499,1.2524,0.21092,-1.6099,-0.92298,0.37176,1.0
-0.32679,-1999.5011,3.73e-20,172.1049,-1541.0333,-71857.8917,-5006.2429,0.088591,-0.24955,-241134.0736,-5755.6033,0.21817,-2464.1222,-160040.5267,-103122.3638,-0.2572,-7.34e-22,-276487.8488,4.583,0.0057857,73.6381,-4.76e-21,0.068884,0.27807,210.5224,0.29945,-6.31e-19,0.26105,0.070796,0.22242,-2210.5962,-0.23871,1.5801,2159772.804,1.1886,-1.862,-0.64325,1.676,0.94314,0.28163,2.7982,0.21239,-0.46014,0.71825,0.23202,1.0
-0.76618,-2449.6855,-1.28e-20,1020.913,-1944.8718,-57229.5541,-4508.9832,0.26173,-0.57612,-239042.0924,-8196.3287,1.0517,-2963.0642,-157254.6772,-95125.625,-0.85137,-1.1e-21,-261072.1829,7.0834,0.059424,190.8245,-1.11e-20,0.28531,0.94857,1154.856,0.8066,-1.33e-19,1.1809,0.25021,0.61106,-2745.7282,-1.059,1.614,1788265.89,1.234,-2.6643,0.23161,1.4891,0.83799,0.32761,2.2702,0.21948,-0.72728,-0.7167,0.23879,1.0
-0.6898,-2789.0003,3.51e-20,1467.7082,-2394.4829,-49010.9405,-16551.506,0.48267,-0.4984,-211770.5318,-11442.5736,0.82563,-4206.4335,-126976.9035,-73535.6422,-0.65517,3.850000000000001e-21,-253775.7585,7.2948,0.33806,234.442,8.190000000000001e-21,0.352,0.68328,1101.0518,0.68679,-1.82e-19,0.93478,0.23279,0.49548,-3439.9657,-0.81287,-1.0741,2169757.689,1.321,-2.7971,-1.138,1.0971,0.77416,0.26425,-0.53723,0.17643,-1.6238,-2.7777,0.42454,0.0
-0.77184,-1826.0476,1.9e-20,1521.9162,-1780.1522,-47508.9559,-15727.6491,0.52061,-0.5367,-197463.666,-10634.7043,1.019,-3658.4927,-121955.7437,-74214.4345,-0.79221,-7.34e-22,-247011.3113,3.6045,0.26753,419.7962,3.07e-20,0.43155,0.76646,1639.7035,0.77002,6.07e-19,0.99951,0.32237,0.53445,-2457.3509,-1.0202,-0.95554,1626165.59,1.2948,-2.7312,-1.2256,1.012,1.3181,0.21758,-0.1365,0.16097,-1.8951,-2.2513,0.30265,0.0
-0.69897,-2375.1114,5.72e-20,1499.3113,-2161.8893,-44987.8812,-16098.3344,0.46743,-0.66934,-188612.7693,-11233.3405,0.99781,-3893.5681,-119312.5757,-69088.0694,-0.8575,3.01e-21,-232934.6356,3.6288,0.24122,271.7003,2.59e-20,0.42119,0.84168,1777.87,0.67833,1.7e-19,0.96542,0.34637,0.71281,-2990.4389,-1.0012,-1.238,1993576.943,1.3234,-2.6195,-0.60406,0.78066,1.0443,0.21738,-1.253,0.14751,-1.1846,-2.8404,0.25998,0.0
-0.28842,-4021.6541,-1.25e-20,232.0228,-3508.3029,-92021.5164,-15678.0259,0.085824,-0.11795,-233526.4268,-10443.0973,0.2446,-4576.6105,-160758.1023,-120633.826,-0.17897,-2.2e-21,-333661.9269,2.9772,0.071593,100.0986,-4.1e-21,0.082921,0.17993,164.4103,0.29338,-1.45e-20,0.22855,0.059388,0.12282,-4311.0617,-0.24304,0.43413,1207885.841,1.344,-4.7193,-1.1579,-0.91175,0.39289,0.35342,2.6661,0.19077,-1.6667,-0.72815,0.30483,1.0
-0.20282,-3532.3567,-1e-20,121.987,-3175.3472,-98934.6458,-14006.2084,0.061141,-0.079923,-248208.5816,-9009.9039,0.16344,-3976.9738,-171167.4747,-126597.1251,-0.12483,-2.48e-21,-348534.7121,40.6909,0.070886,51.8577,-1.1500000000000002e-21,0.055502,0.11922,82.8428,0.20891,-3.03e-20,0.17879,0.039348,0.077872,-3568.6549,-0.16622,0.48,1375936.436,1.3228,-3.8665,-0.7162,-0.51764,0.8886,0.36977,3.1676,0.20653,-1.4529,-0.30069,0.42462,1.0
-0.26148,-4115.1928,1.16e-20,161.7192,-3587.6494,-89549.256,-14956.8847,0.070417,-0.10599,-213898.1495,-10246.539,0.19561,-4599.475,-144675.9533,-108800.4606,-0.13606,1.5800000000000001e-21,-336356.7484,10.4899,0.061646,88.8531,-1.21e-21,0.06551,0.12833,120.8756,0.25976,-6.0700000000000005e-21,0.20864,0.048881,0.10419,-4342.8846,-0.20189,-0.082058,693267.7347,1.3385,-5.0272,-1.3166,-0.8226,0.46695,0.39043,2.7215,0.18037,-1.5955,0.19018,0.3136,1.0
-2.1475,-4022.0385,-6.58e-20,1546.4163,-3227.5013,-30560.543,-4008.7922,0.70567,-0.87425,-214710.6149,-9308.6815,1.4468,-5233.8096,-126325.6567,-59835.8357,-1.2204,-4.89e-22,-237423.0493,94.0664,0.13839,718.5314,-6.2e-20,0.4444,1.1924,2114.0512,2.1475,-4.46e-19,1.7033,0.48416,0.88608,-4440.9472,-1.4468,0.70181,1820773.508,1.2237,-2.3088,-0.28776,-0.042111,0.54308,0.22667,1.9581,0.19526,-2.1932,-2.5723,0.21132,1.0
-1.1389,-3998.835,-6.76e-20,1404.0379,-3221.3381,-62972.8341,-1689.4417,0.45719,-0.28385,-212313.1965,-8479.0369,0.96474,-4999.249,-151499.8513,-96481.1306,-0.56497,-1.0600000000000001e-21,-221227.3881,93.1124,0.18842,472.3427,8.07e-20,0.31743,0.59136,895.1601,1.1389,-9.25e-20,1.2187,0.18652,0.2584,-4280.3112,-0.96474,1.2579,1206051.016,1.3341,-1.2358,-0.011556,0.75384,0.92052,0.19161,0.96852,0.1601,-1.951,-1.803,0.21301,1.0
-1.385,-4004.5782,3.65e-20,1120.3548,-3340.7917,-56141.6004,-3043.3052,0.41426,-0.34672,-219429.3059,-9168.3731,0.92688,-4919.336,-156444.2134,-95125.2008,-0.61924,-4.89e-22,-234864.5064,93.8852,0.14849,667.8593,2.85e-20,0.28036,0.63883,1061.0855,1.385,-9.7e-20,1.246,0.21671,0.3436,-4257.9157,-0.92688,0.7843,1739331.525,1.2717,-1.4611,-0.31648,0.21741,0.71137,0.25623,1.933,0.17819,-2.0395,-2.0307,0.25512,1.0
-0.45356,-2391.7887,5.110000000000001e-21,125.5183,-2089.3745,-97688.5927,431.1996,0.0917,-0.14145,-243404.4824,-949.754,0.22418,-2400.1884,-211963.2314,-147558.0202,-0.16037,-8.690000000000001e-21,-281842.2464,3.1586,0.0053493,116.6665,-1.41e-20,0.057508,0.15729,92.7925,0.49426,-6.31e-19,0.34032,0.042754,0.13527,-2509.2181,-0.23506,4.9579,976932.6167,1.1867,-1.2392,1.7986,0.72678,0.38314,0.24774,3.4988,0.18383,0.27705,-0.4,0.28847,1.0
-0.38145,-2324.6168,2.67e-20,212.2322,-1764.3426,-94565.5449,177.6409,0.09444,-0.12496,-238462.9084,-322.4492,0.33528,-2615.101,-205049.0682,-145798.2676,-0.25725,-2.2e-21,-281557.8803,3.0155,0.0054213,176.2515,3.4800000000000006e-21,0.082547,0.23091,157.5553,0.43902,1.64e-19,0.33196,0.060028,0.13003,-2623.8765,-0.34759,4.3782,1069557.976,1.1663,-1.8751,2.2019,0.77578,-0.023268,0.23714,3.943,0.18388,0.35321,0.11886,0.31296,1.0
-0.5106,-2122.7428,-3.73e-20,199.7669,-1694.3932,-93093.237,39.6354,0.085283,-0.13335,-230937.3237,-300.4626,0.38514,-2441.836,-202402.0043,-145038.3594,-0.29929,1.04e-20,-273961.537,11.3425,0.0045418,203.08,1.41e-21,0.078914,0.26785,159.1714,0.46673,9.7e-19,0.37568,0.060149,0.13289,-2493.8471,-0.3841,4.1477,1020081.252,1.1737,-1.5446,2.1179,0.44445,-0.020168,0.27538,3.6665,0.19076,0.55895,0.08408,0.24607,1.0
-1.2376,-3266.1293,-7.96e-20,1021.8041,-2684.711,-59545.8819,-2796.1592,0.38102,-0.29923,-190585.0712,-9673.3088,0.63688,-4892.4829,-162681.3313,-95012.5952,-0.54382,5.78e-21,-234122.2023,3.6431,0.17792,571.7375,-1.43e-20,0.24349,0.52455,865.5,1.1832,-1.33e-19,0.83352,0.18345,0.33701,-3938.6162,-0.64325,1.4949,1873459.208,1.4273,-2.1395,1.0476,-0.38858,0.0011231,0.25426,0.40917,0.19051,-0.40619,-2.3763,0.23043,0.0
