tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,std_12th_delta_delta,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_8_coef,std_10th_delta_delta,std_8th_delta_delta,std_10th_delta,std_9th_delta_delta,std_9th_delta,app_LT_entropy_shannon_3_coef,det_LT_entropy_log_10_coef,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_entropy_log_7_coef,app_entropy_log_9_coef,app_LT_entropy_log_8_coef,app_entropy_log_10_coef,app_entropy_log_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,std_8th_delta,std_6th_delta_delta,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_10_coef,std_11th_delta_delta,class
-0.49839,-3368.2461,-2.5600000000000003e-21,60.1951,-3043.3386,-101246.4547,-3541.818,0.063607,-0.10088,-236053.7013,-2627.1991,0.20115,-3839.1989,-205456.9163,-144010.6792,-0.15532,-6.73e-22,-283125.1524,94.0248,0.025932,166.5107,-1.2e-20,0.038207,0.1656,58.964,0.49839,6.07e-20,0.29194,0.033293,0.099053,-3800.7105,-0.20115,0.53516,1570606.258,1.1447,1.4003,0.10577,0.047159,0.40493,0.25964,4.2853,0.20717,-0.36128,-0.54474,0.2595,0.014517,-177589.8029,-746171.0994,0.017262,0.018383,0.033323,0.015537,0.030861,-35544.7537,-107.8903,225.3169,-94587.1776,229.2763,235.7143,129.8449,246.113,231.8053,-366244.2314,-24735.3218,0.028006,0.032777,0.023115,-1611838.147,-55069.4136,-3462649.846,0.017121,1.0
-0.37017,-3404.3705,-2.92e-21,45.1027,-2970.2145,-105649.6805,-5750.9164,0.053005,-0.086461,-242041.7113,-2723.7543,0.17821,-3680.5529,-200957.8153,-147822.414,-0.14116,-1.22e-22,-296189.2036,48.1064,0.033637,138.4639,-7.31e-21,0.032069,0.12715,40.7054,0.37017,2.43e-20,0.2176,0.026518,0.085345,-3827.0837,-0.17821,-0.33319,1584381.933,1.192,0.15291,-0.26079,-0.87673,0.91441,0.36983,4.488,0.18939,-0.26301,-1.0701,0.33868,0.018838,-178973.7443,-751543.8792,0.02258,0.022305,0.044543,0.019147,0.03895,-35829.4949,-109.4062,225.7794,-95337.8941,229.7483,236.1767,129.9418,246.5744,232.3592,-368797.5762,-24955.8319,0.037298,0.043754,0.021834,-1623355.569,-55507.321,-3487241.088,0.019285,1.0
-0.72679,-3533.9191,-2.48e-20,965.7051,-3078.4733,-53164.8084,-6022.6171,0.36911,-0.53758,-159701.7241,-12326.2189,0.66106,-5499.0965,-103232.1737,-66866.2594,-0.48819,1.35e-21,-198412.3503,3.6324,0.2816,174.1176,3.58e-20,0.23291,0.61832,614.6716,0.73837,4.5500000000000006e-21,0.87058,0.14777,0.55918,-4241.0226,-0.58496,-0.023494,1748883.011,1.3104,-2.6897,0.58193,-0.2036,-0.4228,0.20082,-2.316,0.15084,-0.193,-1.2234,0.1872,0.011686,-219768.1737,-919961.246,0.014265,0.015785,0.029071,0.01355,0.029394,-44249.2411,-149.8124,239.3167,-117242.4211,244.1808,249.7139,132.664,260.1112,247.6476,-452192.5113,-30925.5006,0.02382,0.035985,0.013429,-1984121.705,-68379.6556,-4256640.869,0.010847,0.0
-0.75738,-3418.1805,7.16e-20,962.0686,-2748.9309,-48028.8139,-5121.3889,0.34791,-0.61408,-163339.225,-12035.5342,0.64098,-5353.0351,-99482.0396,-62392.0965,-0.54192,2.4e-20,-215464.2922,3.8632,0.22851,148.1074,-3.52e-21,0.23151,0.55993,642.6106,0.76674,-6.0700000000000005e-21,0.8534,0.15874,0.61489,-4299.2982,-0.63244,-0.2384,1841103.443,1.4779,-2.5166,0.33116,-0.57016,-0.29307,0.23679,-2.4654,0.16259,0.77301,-1.541,0.20647,0.012801,-216676.4613,-907094.7755,0.01207,0.017604,0.024378,0.014022,0.030961,-43591.4822,-119.3651,238.3321,-115566.3985,243.142,248.7294,132.4741,259.1271,246.5447,-445889.7589,-30449.8919,0.027248,0.036317,0.015818,-1956575.356,-67379.1344,-4197915.574,0.0098611,0.0
-0.73338,-3273.4345,-1.07e-19,1106.0252,-2649.926,-50924.9813,-4268.7164,0.32638,-0.62391,-172100.1771,-11378.381,0.74131,-5071.2192,-108200.6512,-67728.097,-0.66662,6.12e-22,-216090.0456,3.3694,0.20108,165.8187,-3.08e-21,0.26281,0.67497,782.2792,0.76547,0.0,0.91524,0.18821,0.61047,-3998.5074,-0.744,0.28412,1687862.206,1.405,-2.5876,0.60698,-0.26322,0.063547,0.24028,-2.2032,0.15833,0.28966,-1.2317,0.20894,0.012347,-214319.4768,-897238.3896,0.011665,0.017814,0.02496,0.015115,0.03183,-43186.9329,-129.4383,237.5722,-114350.3291,242.3307,247.9695,132.327,258.3667,245.6998,-440992.1103,-30188.2074,0.027389,0.033826,0.01895,-1935472.493,-66715.9749,-4152936.017,0.011935,0.0
-1.5008,-3244.2031,1.79e-21,672.2295,-2598.5559,-71770.6559,-17753.9615,0.44722,-0.18059,-245143.6892,-12614.4792,0.45589,-4974.3764,-167465.6078,-104076.0039,-0.27567,3.4300000000000004e-21,-299549.4777,14.0581,0.18648,173.9659,8.99e-21,0.17726,0.26985,329.798,1.4885,1.52e-19,0.94138,0.09472,0.17711,-4147.3804,-0.45757,1.8537,1761234.728,1.2865,-3.8011,-0.23099,-1.485,-0.45271,0.18687,0.66896,0.14358,-1.9345,-4.0856,0.25597,0.013777,-274200.2426,-1143483.8,0.011664,0.013551,0.02366,0.012372,0.025632,-55662.3475,-110.4156,255.3599,-146594.8487,261.2708,265.7571,135.5983,276.1546,265.8087,-562940.3603,-39092.1188,0.027344,0.028772,0.014461,-2462323.908,-85721.6545,-5275357.436,0.014586,0.0
-1.3798,-2765.2951,1.9e-20,965.2091,-2174.2717,-59650.8626,-19248.6773,0.36753,-0.26934,-222759.5464,-12767.2087,0.63033,-4991.5097,-157686.9672,-91462.3341,-0.46493,5.3200000000000004e-21,-277984.3067,16.937,0.14205,245.2141,-2.27e-20,0.23488,0.46254,758.5366,1.3966,-2.73e-19,0.93789,0.16895,0.26638,-3833.9532,-0.63824,1.6012,1687262.447,1.4566,-4.4756,-0.50172,-1.7129,-0.2233,0.20604,-0.39663,0.14585,-1.6874,-4.1991,0.24165,0.015089,-270582.2068,-1128342.376,0.014239,0.020996,0.032627,0.017352,0.0334,-55013.3622,-140.2117,254.33,-144719.0007,260.1861,264.7273,135.4183,275.1246,264.6663,-555518.7924,-38652.3266,0.032531,0.045901,0.018381,-2429949.324,-84673.933,-5206426.203,0.015181,0.0
-1.4556,-3463.5615,3.01e-21,686.3442,-2694.1256,-79574.1638,-19731.047,0.47799,-0.16472,-238055.3803,-13499.2627,0.50091,-5427.8965,-176961.3157,-112712.259,-0.27129,7.65e-22,-286693.4916,7.5574,0.19677,176.7483,2.79e-20,0.17691,0.27754,231.107,1.4416,-3.64e-20,0.94241,0.076748,0.16401,-4337.7313,-0.51961,1.8153,1536812.634,1.2519,-3.256,-0.50727,-1.2875,-0.86489,0.25328,0.4711,0.14948,-1.931,-3.984,0.25178,0.0099642,-274136.5252,-1142836.181,0.012116,0.01226,0.032841,0.012003,0.027348,-55753.0123,-157.6117,255.3169,-146629.5709,261.2417,265.7141,135.5907,276.1114,265.7896,-562733.5952,-39179.2741,0.021497,0.026546,0.012138,-2460939.504,-85798.2675,-5272412.404,0.011405,0.0
-0.27264,-2627.3496,2.37e-20,1240.2191,-2406.5824,-37403.4732,-17634.7244,0.18277,-0.71725,-156498.626,-9948.042,0.6217,-4412.566,-91192.1471,-58696.4384,-0.75424,-4.59e-21,-246016.4101,3.3055,0.056615,132.83,1.11e-20,0.28336,0.75926,1578.0302,0.26643,1.76e-19,0.40812,0.32551,0.74378,-3310.9322,-0.63179,-1.1201,2513099.66,1.4157,-2.8912,-0.47953,-0.1528,1.1195,0.16832,-3.2805,0.10163,0.81351,-2.7278,0.19709,0.01047,-252021.7751,-1051952.558,0.012916,0.01602,0.026109,0.011774,0.025476,-51171.294,-135.8534,249.0155,-134744.0622,254.5375,259.4127,134.472,269.8099,258.6699,-517736.7529,-35911.6865,0.021803,0.032789,0.012961,-2266576.336,-78807.7396,-4858494.84,0.011868,0.0
-0.3547,-3042.858,2.63e-20,1216.0799,-2639.682,-34253.5984,-17562.0147,0.22552,-0.89658,-166569.8414,-10931.5193,0.71799,-4386.9495,-97388.1754,-54764.5183,-0.96038,3e-21,-252760.8602,4.1175,0.075785,151.1728,-7.04e-20,0.28887,0.9372,1597.3439,0.34353,6.07e-20,0.46102,0.34656,0.88824,-3606.9758,-0.69353,-0.51407,1395782.298,1.4683,-3.5434,-0.4626,-0.25811,1.116,0.24104,-3.4814,0.095436,0.90462,-3.2683,0.23679,0.016747,-254200.439,-1061037.116,0.016345,0.01402,0.035794,0.014326,0.030304,-51594.4323,-152.7648,249.6582,-135890.9371,255.2111,260.0554,134.5881,270.4527,259.3859,-522167.048,-36210.7706,0.034902,0.032471,0.015448,-2286008.807,-79466.8271,-4899886.091,0.017869,0.0
-0.43768,-2862.0474,-7.31e-22,1267.4473,-2540.0441,-34726.2612,-17228.5121,0.24976,-0.88837,-172420.2007,-11051.6238,0.84114,-4325.239,-99786.1275,-55776.6929,-0.97653,1.68e-20,-228064.3961,3.022,0.084834,189.2179,-3.22e-20,0.31085,0.97309,1646.1947,0.43604,-1.8e-19,0.58938,0.35878,0.86553,-3649.2427,-0.82019,-0.40707,1931392.219,1.4049,-2.8541,-0.55191,-0.059163,1.1816,0.24514,-3.4442,0.14722,0.16447,-3.347,0.31094,0.013755,-254646.7403,-1062903.704,0.015241,0.016136,0.033965,0.015161,0.03588,-51668.94,-155.4942,249.79,-136114.7602,255.3584,260.1872,134.6118,270.5845,259.5323,-523137.525,-36253.7882,0.029547,0.042427,0.013199,-2290001.427,-79590.2655,-4908389.928,0.013783,0.0
-1.1221,-3862.1705,2.78e-20,1814.5405,-3209.401,-55216.642,-4211.0528,0.67254,-0.31473,-194884.3562,-9539.0649,0.93065,-5375.1787,-127737.8464,-78600.7855,-0.4894,-8.56e-22,-217268.42,94.4152,0.35085,346.8483,-1.97e-20,0.41444,0.4739,843.4098,1.1221,1.03e-19,1.2676,0.18604,0.31622,-4785.1051,-0.93065,-1.9273,1659833.707,1.4078,-0.87165,0.13191,0.63917,0.48837,0.16667,1.5745,0.1747,-2.9412,-0.69309,0.19048,0.012195,-222260.8907,-929881.3478,0.012305,0.014224,0.024774,0.012487,0.029114,-44851.6393,-152.7714,240.0703,-118632.3197,244.9906,250.4675,132.8086,260.8647,248.5291,-457147.455,-31379.8087,0.026025,0.030211,0.029109,-2005358.255,-69245.1929,-4301907.604,0.0093802,1.0
-1.1009,-4105.6956,2.19e-21,1787.9686,-3210.3811,-51525.2415,-4496.4603,0.68981,-0.45067,-201348.3341,-9488.5513,0.89274,-5379.7544,-123480.0526,-74170.6024,-0.81354,-6.73e-22,-226696.3192,85.4032,0.36824,350.339,-3.3500000000000002e-21,0.42246,0.55414,920.7844,1.1009,-2.12e-20,1.3444,0.2033,0.456,-4775.726,-0.89274,-2.2316,1832260.202,1.4409,-0.97632,0.32804,0.64712,0.40238,0.19769,1.901,0.17126,-2.5705,-1.2009,0.19541,0.010041,-222110.5083,-929589.1949,0.0122,0.0099602,0.025801,0.012854,0.02752,-44760.91,-138.9697,240.048,-118514.4379,244.9527,250.4452,132.8043,260.8424,248.4757,-456917.1082,-31302.5158,0.0215,0.023099,0.028307,-2004732.83,-69141.1951,-4300573.959,0.01175,1.0
-0.84561,-3969.663,6.32e-20,1118.8175,-3269.5914,-58193.2851,-3632.1394,0.42878,-0.29565,-210752.4878,-9330.006,0.58992,-5633.3293,-136805.9396,-85548.5724,-0.4195,0.0,-241729.9681,94.0764,0.26424,323.6478,-2.24e-20,0.26143,0.41819,640.9506,0.84561,-1.14e-20,0.88009,0.15169,0.30469,-4757.8484,-0.58992,-2.2243,2209866.657,1.4607,-0.88793,0.25818,0.64991,0.6695,0.2193,2.4463,0.20596,-2.575,-0.79627,0.2059,0.010005,-218657.0885,-915277.7252,0.010294,0.011583,0.021508,0.011943,0.027192,-44041.9969,-199.5857,238.9585,-116655.0936,243.7975,249.3557,132.5952,259.7529,247.2519,-449863.4569,-30788.367,0.021349,0.025625,0.028532,-1974095.044,-68046.1689,-4235269.252,0.01237,1.0
-0.4948,-3648.6292,-7.47e-21,109.8693,-3173.2376,-107789.8096,-5773.7924,0.1092,-0.049217,-264379.8726,-6767.4351,0.16671,-3530.8553,-222025.1091,-154982.2527,-0.09717,2.92e-21,-306784.6514,79.2212,0.10971,259.9392,-4.14e-21,0.052074,0.082569,40.8401,0.50517,6.0700000000000005e-21,0.30343,0.026007,0.043735,-3204.7118,-0.15599,2.2601,1925163.289,1.2121,-1.7348,1.1885,0.1646,-1.0872,0.5211,2.7214,0.19872,-1.9173,-1.201,0.44212,0.019368,-194419.4838,-815344.8308,0.028349,0.022388,0.055086,0.027017,0.054529,-38995.9062,-121.9202,231.0812,-103603.9612,235.4095,241.4784,131.0381,251.8757,238.3492,-400424.7259,-27191.2531,0.039016,0.049439,0.027202,-1760076.466,-60352.441,-3778925.92,0.023536,1.0
-0.48736,-3724.3119,-1.57e-20,80.5031,-3236.2038,-110707.8205,-5390.1457,0.10125,-0.090373,-279430.4443,-6665.5821,0.15273,-3376.7276,-228214.2846,-157546.2184,-0.10973,-4.040000000000001e-21,-325648.955,98.0962,0.090865,244.35,-2.82e-21,0.043231,0.085036,30.2569,0.4847,6.07e-20,0.27595,0.021895,0.068239,-3090.6315,-0.14284,1.7785,1513774.763,1.2338,-1.3605,1.2429,-0.2985,-0.6623,0.49302,4.0278,0.19819,-1.9793,-1.2292,0.39358,0.021334,-195139.9871,-818583.9001,0.027939,0.018355,0.051455,0.024054,0.045129,-39104.7137,-189.1701,231.3428,-103970.5645,235.6745,241.74,131.0915,252.1372,238.6209,-401947.4818,-27261.4427,0.043801,0.045413,0.026638,-1767015.803,-60547.1463,-3793727.59,0.020946,1.0
-0.90631,-3611.6394,2.28e-20,115.8183,-3240.0688,-103056.0398,-4625.7512,0.11949,-0.073798,-262380.4156,-6191.6793,0.19377,-3364.9472,-220102.3356,-149583.4191,-0.12547,2.11e-21,-299397.7452,63.1641,0.084653,267.4158,6.3900000000000004e-21,0.054387,0.20147,51.1463,0.69325,4.25e-20,0.55078,0.029906,0.11659,-3100.157,-0.34233,1.752,1548043.082,1.2252,-0.88529,0.88306,0.42485,-0.71729,0.45273,2.4045,0.21252,-2.1184,-1.1305,0.39218,0.021462,-195692.9996,-820877.8965,0.032571,0.027693,0.062745,0.0289,0.058637,-39209.2238,-145.3431,231.5289,-104250.6147,235.8791,241.9261,131.1291,252.3235,238.8297,-403120.8841,-27329.6387,0.045049,0.056726,0.029648,-1771930.123,-60707.0526,-3804206.614,0.024258,1.0
-0.83301,-3783.2871,9.860000000000001e-21,1194.874,-3322.1396,-53028.3296,-4039.4743,0.38094,-0.34133,-179064.626,-9716.3453,0.83694,-5310.8656,-152982.806,-85602.7565,-0.63269,-3.67e-22,-199144.8256,13.349,0.25192,242.9061,-2.43e-20,0.29008,0.57617,1045.6837,0.83301,-1.82e-20,0.9995,0.21748,0.39129,-4519.8059,-0.83694,-1.3615,615254.1513,1.2549,-0.61976,0.077616,2.5332,0.39533,0.18757,0.30319,0.14698,-2.6996,-2.0292,0.31339,0.025365,-212927.0682,-891753.7464,0.013301,0.028056,0.030089,0.025514,0.058299,-42819.5026,-181.0886,237.1477,-113549.4105,241.8686,247.5449,132.2444,257.9422,245.1977,-438218.6801,-29908.0913,0.059561,0.069551,0.024025,-1923728.882,-66198.5281,-4127900.121,0.026071,1.0
-0.77782,-3773.2285,-7.05e-20,1105.3892,-3398.0693,-54515.2733,-3901.5763,0.35781,-0.30093,-175487.2717,-9665.3939,0.6821,-5211.2382,-159837.4623,-88804.4649,-0.46979,-6.12e-23,-199916.0049,68.4442,0.25196,205.4602,-2.39e-20,0.26257,0.51739,926.1926,0.77782,1.82e-20,0.86336,0.1944,0.29638,-4345.0883,-0.6821,-1.5826,488168.049,1.2657,-0.24834,0.36664,2.1793,0.081614,0.23946,0.50061,0.13523,-2.4339,-1.8785,0.23491,0.017381,-211148.2493,-884352.5723,0.015184,0.022303,0.034773,0.017831,0.041318,-42462.3953,-123.1686,236.5727,-112604.5724,241.2658,246.97,132.132,257.3676,244.5535,-434615.4318,-29652.5041,0.042245,0.048286,0.023104,-1907880.6,-65648.6992,-4094106.959,0.023457,1.0
-0.80305,-3819.3514,8.31e-20,1169.8796,-3393.6041,-68019.2215,-4002.6719,0.36152,-0.24036,-189277.0611,-9199.7122,0.76445,-5221.122,-171204.3746,-103575.1631,-0.46956,3.1500000000000004e-21,-215271.8086,47.9681,0.28882,190.7516,-7.220000000000001e-21,0.27652,0.48093,670.1468,0.80305,-3.64e-20,0.92858,0.15656,0.26128,-4459.1584,-0.76445,-1.1771,977608.1369,1.2425,-0.052006,0.064271,2.0944,0.24318,0.18982,0.44879,0.1512,-2.7922,-1.8269,0.34695,0.020228,-211322.8462,-885027.519,0.011236,0.025197,0.025627,0.025589,0.058392,-42521.3066,-137.6184,236.6248,-112706.4965,241.3073,247.0221,132.1424,257.4194,244.6169,-434862.403,-29709.2241,0.05004,0.062095,0.033468,-1909326.106,-65723.897,-4097192.81,0.020089,1.0
-0.3769,-3934.3308,1.12e-20,135.38,-3131.5738,-88857.0506,-4088.7504,0.11786,-0.099066,-239108.4514,-7764.4196,0.18442,-5106.058,-183185.6419,-124442.7167,-0.10831,-4.74e-22,-266813.3394,90.9396,0.11723,97.6608,0.0,0.058782,0.11222,72.9722,0.3769,3.34e-20,0.35975,0.036584,0.097529,-4424.4329,-0.18442,-1.1519,1592478.993,1.313,0.28374,-0.46625,1.1686,0.32589,0.22316,2.8367,0.22225,-2.1972,0.070635,0.21549,0.014047,-215548.6858,-902658.2019,0.012175,0.011404,0.026196,0.015322,0.032269,-43342.2681,-128.6697,237.9903,-114947.5221,242.7536,248.3876,132.4081,258.7849,246.1414,-443539.9943,-30280.5661,0.029232,0.022952,0.0167,-1947076.795,-67011.4515,-4177672.721,0.015864,1.0
-0.50745,-3905.1674,1.9e-20,289.7241,-3124.4304,-89635.9806,-3537.8758,0.19839,-0.14856,-233928.8699,-7785.8396,0.25139,-5109.1555,-179623.5757,-124175.8389,-0.19437,6.12e-23,-285375.0067,81.9281,0.19261,106.2279,1.22e-20,0.094598,0.19351,99.3375,0.50745,9.1e-21,0.43605,0.044825,0.12618,-4358.7964,-0.25139,-1.2285,988101.0786,1.3551,-0.065636,-0.27225,1.3137,-0.063262,0.33378,2.508,0.26191,-2.2573,-0.22117,0.24753,0.013722,-214417.3238,-897814.4908,0.017952,0.019943,0.039944,0.014855,0.029119,-43153.0116,-178.8153,237.6168,-114367.7202,242.3692,248.014,132.3357,258.4112,245.735,-441224.0687,-30152.5969,0.029463,0.046765,0.017291,-1936706.055,-66694.8275,-4155566.23,0.016464,1.0
-0.25674,-3865.6097,3.9300000000000005e-21,75.0418,-3030.3581,-107254.7026,-3843.0699,0.08969,-0.058269,-261784.5031,-7935.8791,0.12531,-4981.0917,-203345.6808,-145828.3351,-0.069745,-1.9300000000000003e-21,-325066.2483,18.0169,0.10418,27.6145,-3.9200000000000006e-21,0.041411,0.078178,26.3952,0.27508,-3.03e-20,0.22197,0.020253,0.061554,-4356.4598,-0.12531,-0.70392,1448247.772,1.2531,-0.065277,-0.017954,0.74676,0.4156,0.24245,3.5551,0.25666,-1.4993,-0.21274,0.25077,0.013018,-209757.8065,-878759.7521,0.017857,0.015992,0.038134,0.01913,0.039208,-42155.7021,-181.4288,236.1362,-111841.7307,240.7853,246.5334,132.0467,256.9306,244.0486,-431751.6369,-29436.8771,0.032959,0.031093,0.023422,-1895904.625,-65192.3072,-4068579.494,0.015397,1.0
-0.089556,-4112.4572,-7.31e-22,53.551,-3643.2026,-106146.176,-10940.8807,0.039419,-0.092657,-274271.7718,-10310.3013,0.15356,-4475.7626,-189244.7268,-134630.4529,-0.10423,-1.7e-21,-343258.6527,56.9072,0.16864,22.4764,3.52e-22,0.034186,0.12472,32.0026,0.079625,4.55e-20,0.13638,0.023251,0.088016,-4405.868,-0.12207,4.4156,1494443.068,1.1287,-2.3772,0.796,-1.1692,0.71832,0.32913,4.0634,0.1738,-1.6402,0.40751,0.37085,0.026222,-196881.0793,-826887.5896,0.022717,0.033538,0.049986,0.02767,0.052247,-39124.2699,-75.428,232.0109,-104673.7329,236.3159,242.4084,131.2262,252.8082,239.2746,-405649.9248,-27207.1953,0.055118,0.064578,0.025836,-1784801.368,-60774.9082,-3831626.303,0.021509,1.0
-0.05516,-3992.9457,-5.34e-21,24.821,-3599.4734,-102737.6301,-10353.3131,0.023684,-0.061589,-276356.7481,-10518.8124,0.071171,-4380.3952,-183394.6889,-129924.1629,-0.064424,5.81e-22,-326255.3849,12.1617,0.055474,22.6699,-2e-21,0.021728,0.065947,20.569,0.056197,3.26e-20,0.075173,0.017747,0.056981,-4232.9452,-0.072572,4.0431,1661965.076,1.104,-1.9649,0.46403,-1.1286,0.90258,0.29629,4.6675,0.17089,-2.4408,1.1273,0.43783,0.027104,-191056.3326,-802507.712,0.021373,0.025463,0.044777,0.028375,0.066129,-38000.5839,-88.728,230.0306,-101593.3135,234.229,240.428,130.8241,250.8263,237.0689,-393717.7529,-26424.5281,0.051012,0.055508,0.031951,-1732571.654,-59006.6742,-3720244.063,0.017875,1.0
-0.06085,-4206.9034,-5.5700000000000004e-21,39.1914,-3714.2602,-118150.2141,-10437.7288,0.032807,-0.041915,-268813.7518,-10879.8204,0.083909,-4521.6576,-200996.0863,-152435.0137,-0.062453,3.39e-21,-333135.3997,47.7136,0.11709,25.1965,3.38e-22,0.028199,0.059252,20.6172,0.060846,-4.5500000000000006e-21,0.083214,0.017679,0.042593,-4435.1359,-0.085252,4.1466,1437675.938,1.1179,-2.2647,1.2959,-1.1279,0.74277,0.31753,3.9422,0.16501,-1.9996,0.70153,0.4832,0.03252,-193884.9843,-814872.8001,0.022352,0.031643,0.03911,0.031512,0.071424,-38442.9386,-66.8188,231.0338,-103023.2086,235.2507,241.4316,131.028,251.834,238.1369,-399573.1919,-26714.1561,0.066749,0.062627,0.030647,-1759059.552,-59772.306,-3776688.331,0.023119,1.0
-0.02839,-4572.6008,6.740000000000001e-22,0.68791,-3930.7627,-138564.448,-8229.7681,0.0050164,-0.015152,-315893.7549,-11557.1468,0.010146,-5959.3059,-241504.7605,-177967.659,-0.014231,0.0,-381667.3093,65.511,0.0089482,5.4002,5.5099999999999995e-24,0.0028478,0.014702,0.91348,0.02839,1.06e-20,0.016011,0.0030454,0.015313,-5115.1983,-0.010146,-0.99139,760219.8807,1.1893,0.89586,-0.19402,0.44887,-0.63249,0.32633,2.46,0.21139,-0.61446,0.74152,0.26208,0.021554,-209541.6989,-877845.996,0.022001,0.024065,0.046226,0.019127,0.038637,-42228.7174,-107.0055,236.0652,-111806.5526,240.735,246.4626,132.0322,256.8614,243.969,-431448.2651,-29504.1089,0.042488,0.048064,0.026981,-1893946.36,-65236.7663,-4064380.932,0.013893,1.0
-0.04355,-4569.4286,-1.1400000000000001e-21,0.95972,-3910.9917,-133823.4508,-7295.6004,0.0078609,-0.011572,-307351.8738,-11155.8475,0.011675,-5845.8121,-233309.2992,-169725.8121,-0.0096211,7.65e-24,-372795.6416,44.1335,0.012004,10.9149,-3.47e-22,0.0034221,0.0098025,0.75817,0.04355,-2.2700000000000004e-21,0.026667,0.0027339,0.011431,-5088.9607,-0.011675,-0.87766,816844.9227,1.1821,0.85818,-0.31494,0.15874,-0.85959,0.36941,3.0492,0.22764,-0.6818,0.7007,0.27941,0.02369,-212279.2443,-888925.1798,0.02423,0.02078,0.051727,0.018458,0.042111,-42748.0492,-174.568,236.9279,-113245.9824,241.6387,247.3252,132.2016,257.7224,244.9634,-436842.7548,-29873.8084,0.04526,0.040072,0.029341,-1917672.241,-66055.3663,-4114988.254,0.018278,1.0
-0.10866,-4728.7997,1.9900000000000003e-21,6.7532,-4081.9441,-127760.7105,-9351.7075,0.024182,-0.01786,-298386.0539,-12134.8937,0.033737,-6085.2449,-215718.8958,-159807.8507,-0.018227,4.18e-25,-364493.6516,92.7991,0.12603,14.726,-4.27e-23,0.010199,0.016669,1.4601,0.10866,3.0300000000000003e-21,0.079888,0.0039457,0.02162,-5210.821,-0.033737,-1.5311,605024.0992,1.198,0.049915,-0.49951,-0.060307,-1.1554,0.36538,2.2298,0.17448,-1.2956,-0.14083,0.27175,0.021463,-212379.7319,-888838.522,0.0232,0.026823,0.052387,0.019788,0.04523,-42937.1039,-83.2475,236.9178,-113406.0774,241.6761,247.3154,132.1991,257.7156,244.9955,-437091.2971,-30031.5623,0.046693,0.062549,0.025162,-1917483.704,-66242.6816,-4114541.501,0.018875,1.0
-0.12082,-3705.1498,3.4e-20,309.132,-3125.1927,-82529.5332,-7274.1422,0.091459,-0.20788,-212895.3884,-5153.0533,0.3348,-4218.6586,-147230.0307,-103811.2245,-0.24814,-3.64e-21,-247715.548,72.0767,0.18834,20.5537,3.8e-21,0.10132,0.23503,162.7224,0.12864,-3.34e-20,0.30615,0.060493,0.19739,-4026.4825,-0.37459,0.96368,1104960.89,1.3349,-3.7595,0.26548,0.59837,2.142,0.41227,0.42193,0.16069,-1.3208,1.3102,0.4083,0.02153,-184847.2082,-776329.3325,0.031526,0.034915,0.062264,0.029698,0.05546,-36907.6935,-156.6691,227.8622,-98391.2006,231.9592,238.2594,130.3784,248.6566,234.6648,-381004.8628,-25683.485,0.04201,0.077187,0.038761,-1676477.598,-57227.9132,-3600592.901,0.028097,1.0
